Date,Adjusted,Asylum support payment (£)
2008-03-01,Inflation-adjusted,49.65227817745802
2008-03-01,Nominal,41.41
2008-04-01,Inflation-adjusted,49.297619047619044
2008-04-01,Nominal,41.41
2008-05-01,Inflation-adjusted,48.94799054373522
2008-05-01,Nominal,41.41
2008-06-01,Inflation-adjusted,48.60328638497652
2008-06-01,Nominal,41.41
2008-07-01,Inflation-adjusted,48.66039952996474
2008-07-01,Nominal,41.41
2008-08-01,Inflation-adjusted,48.31971995332555
2008-08-01,Nominal,41.41
2008-09-01,Inflation-adjusted,48.095238095238095
2008-09-01,Nominal,41.41
2008-10-01,Inflation-adjusted,48.20721769499417
2008-10-01,Nominal,41.41
2008-11-01,Inflation-adjusted,48.26340326340326
2008-11-01,Nominal,41.41
2008-12-01,Inflation-adjusted,48.432748538011694
2008-12-01,Nominal,41.41
2009-01-01,Inflation-adjusted,48.77502944640753
2009-01-01,Nominal,41.41
2009-02-01,Inflation-adjusted,48.376168224299064
2009-02-01,Nominal,41.41
2009-03-01,Inflation-adjusted,48.26340326340326
2009-03-01,Nominal,41.41
2009-04-01,Inflation-adjusted,48.15116279069767
2009-04-01,Nominal,41.41
2009-05-01,Inflation-adjusted,47.92824074074073
2009-05-01,Nominal,41.41
2009-06-01,Inflation-adjusted,47.76239907727797
2009-06-01,Nominal,41.41
2009-07-01,Inflation-adjusted,48.627450980392155
2009-07-01,Nominal,42.16
2009-08-01,Inflation-adjusted,48.45977011494252
2009-08-01,Nominal,42.16
2009-09-01,Inflation-adjusted,48.40413318025258
2009-09-01,Nominal,42.16
2009-10-01,Inflation-adjusted,48.348623853211
2009-10-01,Nominal,42.16
2009-11-01,Inflation-adjusted,48.18285714285714
2009-11-01,Nominal,42.16
2009-12-01,Inflation-adjusted,47.90909090909091
2009-12-01,Nominal,42.16
2010-01-01,Inflation-adjusted,48.018223234624145
2010-01-01,Nominal,42.16
2010-02-01,Inflation-adjusted,47.800453514739225
2010-02-01,Nominal,42.16
2010-03-01,Inflation-adjusted,47.531003382187144
2010-03-01,Nominal,42.16
2010-04-01,Inflation-adjusted,47.78026905829596
2010-04-01,Nominal,42.62
2010-05-01,Inflation-adjusted,47.67337807606263
2010-05-01,Nominal,42.62
2010-06-01,Inflation-adjusted,47.62011173184357
2010-06-01,Nominal,42.62
2010-07-01,Inflation-adjusted,47.72676371780515
2010-07-01,Nominal,42.62
2010-08-01,Inflation-adjusted,47.46102449888641
2010-08-01,Nominal,42.62
2010-09-01,Inflation-adjusted,47.46102449888641
2010-09-01,Nominal,42.62
2010-10-01,Inflation-adjusted,47.355555555555554
2010-10-01,Nominal,42.62
2010-11-01,Inflation-adjusted,47.198228128460684
2010-11-01,Nominal,42.62
2010-12-01,Inflation-adjusted,46.73245614035087
2010-12-01,Nominal,42.62
2011-01-01,Inflation-adjusted,46.681270536692224
2011-01-01,Nominal,42.62
2011-02-01,Inflation-adjusted,46.326086956521735
2011-02-01,Nominal,42.62
2011-03-01,Inflation-adjusted,46.22559652928416
2011-03-01,Nominal,42.62
2011-04-01,Inflation-adjusted,45.72961373390557
2011-04-01,Nominal,42.62
2011-05-01,Inflation-adjusted,45.63169164882226
2011-05-01,Nominal,42.62
2011-06-01,Inflation-adjusted,45.68060021436227
2011-06-01,Nominal,42.62
2011-07-01,Inflation-adjusted,45.68060021436227
2011-07-01,Nominal,42.62
2011-08-01,Inflation-adjusted,45.437100213219615
2011-08-01,Nominal,42.62
2011-09-01,Inflation-adjusted,45.14830508474576
2011-09-01,Nominal,42.62
2011-10-01,Inflation-adjusted,45.1005291005291
2011-10-01,Nominal,42.62
2011-11-01,Inflation-adjusted,45.05285412262156
2011-11-01,Nominal,42.62
2011-12-01,Inflation-adjusted,44.81598317560463
